fold,seed,policy,tau_overlap,tau_dual,tau_rgb_uncertain,margin,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,dual_acceptance_ratio,n_rgb_boxes,n_dual_boxes,n_output_boxes
fold2,42,P0_rgb_only,,,,,0.25219311819440837,0.5043816883915273,4.5479972893936155e-06,0,0.0,0.0,39807,79093,39807
fold2,42,P1_dual_only,,,,,0.16417268727190093,0.32834537454380186,0.0,0,-0.08802043092250744,1.0,39807,79093,118900
fold2,42,GateA,0.5,0.05,,,0.26018524601574344,0.5203695054185095,9.866129773809109e-07,0,0.007992127821335071,0.2615907855309572,39807,79093,60497
fold2,42,GateA,0.5,0.1,,,0.25629131267550187,0.5125811312378097,1.4941131940155787e-06,0,0.004098194481093498,0.11999797706497414,39807,79093,49298
fold2,42,GateA,0.5,0.2,,,0.2521036621918301,0.5042049006406739,2.4237429862937337e-06,0,-8.94560025782587e-05,0.02538783457448826,39807,79093,41815
fold2,42,GateA,0.5,0.3,,,0.2521417789457743,0.504279437629335,4.120262213487267e-06,0,-5.133924863409689e-05,0.00357806632698216,39807,79093,40090
fold2,42,GateA,0.6,0.05,,,0.26247671824887575,0.524952519739409,9.167583425009167e-07,0,0.010283600054467379,0.29939438382663447,39807,79093,63487
fold2,42,GateA,0.6,0.1,,,0.2575802036209783,0.5151590007181239,1.406523832608661e-06,0,0.005387085426569904,0.13676305109175274,39807,79093,50624
fold2,42,GateA,0.6,0.2,,,0.25257652613868875,0.5051507931527732,2.2591246042766736e-06,0,0.0003834079442803784,0.03121641611773482,39807,79093,42276
fold2,42,GateA,0.6,0.3,,,0.25257247835081287,0.5051409819966483,3.974704977523044e-06,0,0.0003793601564044957,0.0048297573742303365,39807,79093,40189
fold2,42,GateA,0.7,0.05,,,0.2620122918465759,0.5240237117433412,8.719498105689037e-07,0,0.009819173652167501,0.32454199486680235,39807,79093,65476
