fold,seed,policy,tau_overlap,tau_dual,tau_rgb_uncertain,margin,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,dual_acceptance_ratio,n_rgb_boxes,n_dual_boxes,n_output_boxes
fold1,42,P0_rgb_only,,,,,0.07191011803599907,0.0,0.2157303541079972,0.0,0.0,0.0,10905,4395,0
fold1,42,P1_dual_only,,,,,0.21823602637886183,0.0,0.6547080791365855,0.0,0.14632590834286274,-1.4812286689419796,10905,4395,0
fold1,42,GateA,0.7,0.05,,,0.17988063135101298,0.0,0.539641894053039,0.0,0.10797051331501391,0.5915813424345847,10905,4395,0
fold1,1337,P0_rgb_only,,,,,0.11216198682892313,0.0,0.33638025596613935,0.00010570452062999894,0.0,0.0,17897,3657,0
fold1,1337,P1_dual_only,,,,,0.22092908303929748,0.0,0.6627872491178924,0.0,0.10876709621037435,-3.751162154771671,17897,3657,0
fold1,1337,GateA,0.7,0.05,,,0.16649586459599494,0.0,0.4993818892673548,0.00010570452062999894,0.05433387776707181,0.2887612797374898,17897,3657,0
