family,method,fold,seed,run_class,run_id,source_path,config_path,log_path,checkpoint_path,prediction_path,results_csv,status,notes
P0-G1c,G1c-dropout_nokd,1,42,exploratory,phase_f5_g1c_mcf_dropout_nokd_fold1_seed42,/mnt/topic2_workspace/runs/phase_f5_g1c_mcf_dropout_nokd_fold1_seed42,/mnt/topic2_workspace/runs/phase_f5_g1c_mcf_dropout_nokd_fold1_seed42/args.yaml,,/mnt/topic2_workspace/runs/phase_f5_g1c_mcf_dropout_nokd_fold1_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f5_g1c_mcf_dropout_nokd_fold1_seed42/results.csv,available,G1c clean MCF (2-seed exploratory)
P0-G1c,G1c-dropout_nokd,1,1337,exploratory,phase_f5_g1c_mcf_dropout_nokd_fold1_seed1337,/mnt/topic2_workspace/runs/phase_f5_g1c_mcf_dropout_nokd_fold1_seed1337,/mnt/topic2_workspace/runs/phase_f5_g1c_mcf_dropout_nokd_fold1_seed1337/args.yaml,,/mnt/topic2_workspace/runs/phase_f5_g1c_mcf_dropout_nokd_fold1_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/phase_f5_g1c_mcf_dropout_nokd_fold1_seed1337/results.csv,available,G1c clean MCF (2-seed exploratory)
P1-YOLOv11-RGBT,YOLOv11-RGBT-early,2,42,formal,yolov11rgbt_early_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed42/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed42/results.csv,available,YOLOv11-RGBT early fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-early,2,1337,formal,yolov11rgbt_early_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed1337/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed1337/results.csv,available,YOLOv11-RGBT early fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-mid,2,42,formal,yolov11rgbt_mid_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_mid_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_mid_fold2_nirfree_seed42/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_mid_fold2_nirfree_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_mid_fold2_nirfree_seed42/results.csv,available,YOLOv11-RGBT mid fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-mid,2,1337,formal,yolov11rgbt_mid_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_mid_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_mid_fold2_nirfree_seed1337/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_mid_fold2_nirfree_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_mid_fold2_nirfree_seed1337/results.csv,available,YOLOv11-RGBT mid fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-late,2,42,formal,yolov11rgbt_late_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed42/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed42/results.csv,available,YOLOv11-RGBT late fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-late,2,1337,formal,yolov11rgbt_late_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed1337/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed1337/results.csv,available,YOLOv11-RGBT late fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-score,2,42,formal,yolov11rgbt_score_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_score_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_score_fold2_nirfree_seed42/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_score_fold2_nirfree_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_score_fold2_nirfree_seed42/results.csv,available,YOLOv11-RGBT score fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-score,2,1337,formal,yolov11rgbt_score_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_score_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_score_fold2_nirfree_seed1337/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_score_fold2_nirfree_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_score_fold2_nirfree_seed1337/results.csv,available,YOLOv11-RGBT score fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-share,2,42,formal,yolov11rgbt_share_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_share_fold2_nirfree_seed42,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_share_fold2_nirfree_seed42/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_share_fold2_nirfree_seed42/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_share_fold2_nirfree_seed42/results.csv,available,YOLOv11-RGBT share fusion pilot (seed42/1337)
P1-YOLOv11-RGBT,YOLOv11-RGBT-share,2,1337,formal,yolov11rgbt_share_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_share_fold2_nirfree_seed1337,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_share_fold2_nirfree_seed1337/args.yaml,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_share_fold2_nirfree_seed1337/weights/best.pt,,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_share_fold2_nirfree_seed1337/results.csv,available,YOLOv11-RGBT share fusion pilot (seed42/1337)
