source,method,fold,seed,tau_overlap,tau_dual,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,acceptance_ratio,notes
G1a,P0_rgb_only,1,42,0.0,0.0,0.07191011803599907,0.0,0.2157303541079972,0.0,0.0,0.0,
G1a,P1_dual_only,1,42,0.0,0.0,0.21823602637886183,0.0,0.6547080791365855,0.0,0.14632590834286274,-1.4812286689419796,
G1a,GateA,1,42,0.7,0.05,0.17988063135101298,0.0,0.539641894053039,0.0,0.10797051331501391,0.5915813424345847,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,P0_rgb_only,1,1337,0.0,0.0,0.11216198682892313,0.0,0.33638025596613935,0.00010570452062999894,0.0,0.0,
G1a,P1_dual_only,1,1337,0.0,0.0,0.22092908303929748,0.0,0.6627872491178924,0.0,0.10876709621037435,-3.751162154771671,
G1a,GateA,1,1337,0.7,0.05,0.16649586459599494,0.0,0.4993818892673548,0.00010570452062999894,0.05433387776707181,0.2887612797374898,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,P0_rgb_only,2,42,0.0,0.0,0.25219311819440837,0.5043816883915273,4.5479972893936155e-06,0.0,0.0,0.0,
G1a,P1_dual_only,2,42,0.0,0.0,0.16417268727190093,0.32834537454380186,0.0,0.0,-0.08802043092250744,1.0,
G1a,GateA,2,42,0.5,0.05,0.26018524601574344,0.5203695054185095,9.866129773809109e-07,0.0,0.007992127821335071,0.2615907855309572,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.5,0.1,0.25629131267550187,0.5125811312378097,1.4941131940155787e-06,0.0,0.004098194481093498,0.11999797706497414,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.5,0.2,0.2521036621918301,0.5042049006406739,2.4237429862937337e-06,0.0,-8.94560025782587e-05,0.02538783457448826,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.5,0.3,0.2521417789457743,0.504279437629335,4.120262213487267e-06,0.0,-5.133924863409689e-05,0.00357806632698216,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.6,0.05,0.26247671824887575,0.524952519739409,9.167583425009167e-07,0.0,0.010283600054467379,0.29939438382663447,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
