route,method,mode,seed,label,status,best_epoch,best_map50,best_map5095,final_map50,final_best_ratio,results_csv,checkpoint,claim_impact
P2,YOLOv11-RGBT,early,2024,OFFICIAL_REPRODUCTION,completed,30,0.08702,0.02328,0.02115,0.2430475753,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed2024/results.csv,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_early_fold2_nirfree_seed2024/weights/best.pt,table completeness only; not claim-changing by itself
P2,YOLOv11-RGBT,late,2024,OFFICIAL_REPRODUCTION,completed,40,0.23957,0.19167,0.16216,0.6768794089,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed2024/results.csv,/mnt/topic2_workspace/runs/f5_yolov11_rgbt_fold2_nirfree/yolov11rgbt_late_fold2_nirfree_seed2024/weights/best.pt,table completeness only; not claim-changing by itself
